x;Conv_mass;;x;ang rate;;x;dyn_relax;;x;gimb_angle;;x;thrust;;x;trust_region;;x;tilt_angle
0;0.3766;;0,00436;-3,35E-08;;1;0.0509;;0;0,1485;;0;1,9934;;1;3,93E+03;;0;-0,0002
1;0.06019;;0,16993,;-6,053;;2;0.00648;;0,17074;-9,9505;;0,17001;2,8061;;2;2,37E+03;;0,17016;0,401
2;0.02056;;0,34423,;-16,316;;3;0.00515;;0,34947;-9,9505;;0,34438;3,0155;;3;1,13E+03;;0,34468;2,185
3;0.004083;;0,51852,;-26,053;;4;0.002061;;0,51977;-7,9703;;0,51874;2,9888;;4;8,66E+02;;0,5192;5,942
4;0.002399;;0,68845,;-29,737;;5;0.001037;;0,69556;1,8317;;0,69311;3,0146;;5;5,23E+02;;0,68499;10,685
5;0.001018;;0,8671,;-22,895;;6;0.000001075;;0,8624;10,0495;;0,86748;3,0141;;6;195.7;;0,86387;15,626
6;0.000005633;;1,03704,;-12,105;;7;0.00000000001805;;1,0368;10,2475;;1,03749;3,0006;;7;0.00499;;1,03403;18,593
7;0.0000098;;1,20697,;-3,421;;8;0.0000000000227;;1,21062;6,4851;;1,2075;3,0001;;8;0.0000649;;1,21291;19,785
8;0.000006417;;1,37691,;1,316;;9;0.00000000001805;;1,38023;3,7129;;1,37751;2,9997;;9;0.0000634;;1,38307;20,186
9;0.000004203;;1,55556,;6,053;;10;0.0000000000227;;1,55934;6,3861;;1,55187;2,8943;;10;0.0000619;;1,55323;19,601
;;;1,72113,;13,947;;;;;1,72991;10,2475;;1,72624;2,4086;;;;;1,72339;18,029
;;;1,89542,;20,789;;;;;1,90428;10,2475;;1,89625;1,5557;;;;;1,90227;14,878
;;;2,07407,;24,737;;;;;2,06991;10,1485;;2,06626;0,8208;;;;;2,06806;11,134
;;;2,24401,;26,842;;;;;2,24808;6,2871;;2,24063;0,4925;;;;;2,24695;6,404
;;;2,41394,;26,842;;;;;2,41632;-5,8911;;2,415;0,492;;;;;2,42147;1,675
;;;2,58824,;25;;;;;2,58138;-9,9505;;2,58936;0,5571;;;;;2,5829;-2,661
;;;2,75817,;23,158;;;;;2,76012;-9,8515;;2,75937;0,5174;;;;;2,76178;-6,799
;;;2,93246,;21,579;;;;;2,93013;-9,8515;;2,93374;0,5431;;;;;2,9363;-10,739
;;;3,1024,;18,947;;;;;3,10448;-9,9505;;3,10811;1,0804;;;;;3,10646;-14,088
;;;3,27233,;13,684;;;;;3,27449;-9,9505;;3,27376;2,0504;;;;;3,27225;-17,239
;;;3,44662,;5;;;;;3,44886;-9,9505;;3,44377;2,8238;;;;;3,45113;-18,614
;;;3,61656,;-5;;;;;3,62323;-9,9505;;3,61813;2,902;;;;;3,62565;-18,804
;;;3,79085,;-13,947;;;;;3,78889;-9,8515;;3,79686;2,272;;;;;3,79581;-17,021
;;;3,96514,;-19,737;;;;;3,96786;-8,1683;;3,96687;1,1962;;;;;3,97033;-14,251
;;;4,13943,;-21,053;;;;;4,13944;2,6238;;4,13688;0,54;;;;;4,14485;-10,297
;;;4,30937,;-19,737;;;;;4,31492;10,2475;;4,31125;0,6313;;;;;4,31501;-6,738
;;;4,48366,;-16,579;;;;;4,48927;10,1485;;4,48126;1,2735;;;;;4,48953;-3,968
;;;4,65359,;-10,789;;;;;4,65928;10,1485;;4,65126;1,9157;;;;;4,66405;-1,197
;;;4,82789,;-3,947;;;;;4,82929;10,1485;;4,82999;1,8365;;;;;4,83421;-0,007
;;;4,99782,;-2,12E-08;;;;;5,00219;0,0495;;5,00436;1,0623;;;;;5,00436;0,395
